Name,Price
President's Choice Finger Hot Hot Peppers,$5.99
Pumpkin Mix Varietal,$6.99
Cassava,$3.73
Snow Peas,$4.49
President's Choice Live Lettuce Boston,$3.49
"Chanterelle Mushrooms, Dried",$5.99
Snap Peas,$4.49
Organic Red Onions,$6.49
Colossal Pumpkin,$8.99
PC Organics Organics Whole Button Cremini Mushrooms,$4.49
President's Choice Red Potatoes,$5.99
Jamaican Thyme,$2.31
PC Organics Organic Peppers,$6.99
Organic Gold Beet Bunch,$4.99
Dates Medjool,$14.99
Walnuts,$0.38
"No Name Roasted Peanuts, No Salt",$6.99
No Name Roasted Peanuts In Shell,$13.99
Large Chestnuts,$1.10
President's Choice Salted California Pistachios,$5.99
President's Choice Salted California Pistachios,$11.99
Dried Turkish Apricots,$3.99
Pitted Honey Dates,$6.49
Aurora Dried Turkish Figs,$4.99
PC Blue Menu Unsalted California Pistachios,$5.99
President's Choice Salted Virginia Peanuts,$4.99
"Paramount Wonderful Pistachios, Roasted & Salted",$6.99
PC Blue Menu Unsalted California Pistachios,$11.99
Paramount Pistachios No Shells Roasted Light Salt,$8.99
"Paramount Wonderful Pistachios, Sweet Chili",$6.99
"Paramount Pistachios, Salt & Pepper",$6.99
Aurora Sundried Tomatoes,$3.29
Aurora Roasted Chestnuts,$3.69
Honey Pitted Dates,$4.99
Bard Valley Natural Delights Pitted Medjool Dates,$10.99
Paramount Pistachios No Shells Chili Roasted,$8.99
"Wonderful Pistachios, Shelled",$8.99
Organic Dried Figs,$6.49
"Paramount No shell Pistachios, Sea Salt & Vinegar",$8.99
Organic Medjool Dates,$12.49
7D Dried Mangos,$9.99
"Paramount Pistachios, Roasted & Unsalted",$6.99
Golden Figs,$5.99
President's Choice Dry-Roasted Sea Salt Pistachios,$7.99
Paramount Pistachios No Shells Honey Roasted,$8.99
President's Choice Walnuts,$4.99
President's Choice Mixed Nuts in Shell,$11.99
Paramount No shell BBQ Pistachios,$8.99
Organic Dried Apricots,$6.49
President's Choice Honey Roasted Pistachio,$7.99
Paramount Pistachios Lightly Salted,$11.99
Coconut Rolled Medjool Dates,$8.99
Paramount Sea Salt & Pepper Pistachios No Shells,$8.99
President's Choice Mixed Nuts,$6.99
President's Choice Hazelnuts in Shell,$7.99
Aurora Oven Cooked Figs with Almonds,$10.99
Chestnuts,$8.99
Aurora Oven Cooked Figs,$10.99
Pecans in Shell,$7.99
"Paramount Wonderful Pistachios, Raw",$11.99
Aurora Greek String,$5.49
Medjool Premium Chopped Dates,$9.99
Mini Medjools Organic Cranberry Pistachio,$9.99
POM Wonderful 100% Pomegranate Juice,$14.99
Bolthouse C-Boost,$6.99
Bolthouse Green Goodness,$6.99
Bolthouse Berry Boost,$6.99
Bolthouse Strawberry Banana,$6.99
Bolthouse Blue Goodness,$6.99
Bolthouse Daily Greens,$6.99
Bolthouse Amazing Mango,$6.99
Bolthouse 100% Carrot,$6.99
Bolthouse Mocha Cappuccino,$6.99
Bolthouse Vanilla Chai Tea,$6.99
Bolthouse Red Goodness,$6.99
Fresh Orange Juice,$6.00
Fresh Orange Juice,$12.00
Fresh Banana Strawberry Smoothie,$5.99
Cold Pressed Lemonade,$6.00
Fresh Green Spinach Mango Smoothie,$5.99
Fresh Mango Pineapple Smoothie,$5.99
No Name Salted Butter,$6.49
"Lactantia Fresh Churned Butter, Salted",$5.99
No Name Unsalted Butter,$6.49
I Can't Believe It's Not Butter! Margarine Spread,$4.29
Becel Margarine Original,$7.99
Gay Lea Salted Butter,$8.49
Becel Margarine with Olive Oil,$7.99
Lactantia Unsalted Butter,$5.99
Becel Margarine Original,$5.49
President's Choice Country Churned Unsalted Butter,$7.99
President's Choice Country Churned Salted Butter,$7.99
"Lactantia Butter Sticks, Salted",$8.99
Becel Margarine Vegan,$7.99
Gay Lea Unsalted Butter,$8.49
"Lactantia My Country Butter Sticks, Unsalted",$8.99
Becel Margarine with Olive Oil,$5.49
PC Blue Menu Blue Menu Margarine with Olive Oil,$6.79
Becel Margarine with Avocado Oil,$7.99
Gay Lea Spreadables Butter With Canola Oil,$5.99
Imperial 55% Vegetable Oil Margarine Non Hydrogenated,$6.99
Lactantia Provencal Garlic Butter,$4.49
Becel Calorie-Reduced Margarine Light,$7.99
PC Blue Menu Blue Menu Original Margarine,$6.79
Becel Margarine Vegan,$5.49
Becel Margarine with Avocado Oil,$5.49
Lactantia Butter Sticks Salted with Sea Salt,$8.99
"Gay Lea Butter Sticks, Salted",$8.99
President's Choice Plant Based Butter Alternative Salted,$5.99
Earth Balance Soy Free Buttery Spread,$6.99
President's Choice Plant Based Butter Alternative Unsalted,$5.99
Gay Lea Spreadables Light Butter With Canola Oil,$5.99
COUNTRY CROCK Original Spread,$4.49
"Lactantia Lactose Free Butter, Salted",$7.49
President Premium Unsalted Cultured Butter,$5.49
President Premium Salted Cultured Butter,$5.49
"Lactantia Lactose Free Butter, Unsalted",$7.49
PC Blue Menu Blue Menu Original Margarine,$4.99
"Lactantia My Country Butter, Unsalted",$8.99
Vegenaise Original,$7.49
Gay Lea Butter 84% Sea Salted,$7.99
"Becel Plant Butter with Olive Oil, Salted",$5.99
"Gay Lea Butter Sticks, Unsalted",$8.99
COUNTRY CROCK Original Spread,$7.29
Olivina Margarine,$4.79
"Pillsbury Crescents Original Dough, 8 Pieces",$3.49
President's Choice Butter Puff Pastry,$6.49
"Pillsbury Country Biscuits, Ready to Bake Dough, 10 ct",$4.79
"Pillsbury Wiener Wraps, Refrigerated Dough, Ready to Bake, 6 ct",$3.49
Pillsbury Crescents - Reduced Fat,$3.49
"Pillsbury Cinnamon Rolls with Icing, Ready to Bake 8 ct",$4.79
"Pillsbury Chocolate Chip Cookie Dough, Ready to Bake",$4.79
"Pillsbury Pie Crusts, Refrigerated Pre-Made Dough",$4.79
"Pillsbury Chocolate Chip Cookie Dough, Ready to Bake, 24 ct",$5.49
No Name Deep Dish Pie Shells,$4.29
Pillsbury Chub Chocolate Chunk Cookie,$4.79
"Pillsbury Grands! Cinnamon Rolls with Icing, Cinnabon Cinnamon, 5 ct",$5.49
President's Choice Chocolate Chip Cookie Dough,$4.49
"Pillsbury Grands! Crescents, Croissant Rolls, Ready to Bake, 4 ct",$4.79
"Pillsbury Pizza Crust, Refrigerated Pre-Made Dough, 1 ct",$4.79
President's Choice Phyllo Pastry,$4.49
Pillsbury Reese Cookie Dough,$5.49
No Name Tart Shells,$7.99
Pillsbury Grands! Cinnamon Rolls with Cream Cheese Icing,$5.49
Pillsbury Grands! Cinnamon Rolls Flaky Supreme with Icing,$5.49
Pillsbury Crescents Flaky Rolls,$4.79
President's Choice Oatmeal Chocolate Chip Cookie Dough,$4.49
Pillsbury Sugar Cookies,$4.79
No Name Pie Shells,$4.29
Pillsbury Grands ready to bake Chocolate Chunk & Chip,$5.49
Pillsbury Flaky Real Apple Turnovers,$4.79
Yummy Doh Raw Cookie Dough Chocolate Chunk,$6.49
Sweet Loren's Gluten Free Cookie Chocolate Chunk,$8.99
Yummy Doh Raw Cookie Dough Strawberry Confetti,$6.49
"Sweet Loren's Cookie Dough, Chocolate Chunk",$8.99
President's Choice Gluten Free Pie Crust,$9.49
Del Monte Peach Chunks In Light Syrup 8 Cups X (1.52 L)  (Case),$19.99
Pillsbury Ready To Bake! Sugar Cookies Snowman,$4.99
Pillsbury Ready To Bake! Sugar Cookies Christmas Tree,$4.99
Pillsbury Ready to Bake Winter Cutout Sugar Cookie Dough,$4.99
Pillsbury Ready to Bake Gingerbread Cookie Dough Chub,$4.99
Pillsbury Cinnamon Toast Crunch Cinnamon Flavoured Cookie Dough,$4.99
Pillsbury Ready to Bake! Winter Sugar Cookies Elf,$4.99
No Name Large Grade A Eggs,$3.89
No Name Large Size Eggs,$9.69
No Name Grade A Extra Large Eggs,$4.59
President's Choice Free Run Brown Eggs Large,$5.99
Burnbrae Farms Grade A Large Eggs,$7.19
No Name Medium Grade A White Eggs,$3.79
PC Blue Menu Egg Whites,$8.49
No Name Grade A Large Brown Eggs,$6.09
Burnbrae Farms Naturegg NestlaidOmega 3 Large Size 12 Eggs,$6.49
PC Blue Menu Blue Menu Free Run Large White Eggs 12 Pack,$7.29
PC Blue Menu Free Run Egg Whites,$5.49
"Burnbrae Farms Nature's Best White Eggs, Large",$5.59
"Burnbrae Farms Super Bon-Ee Grade A White Eggs, Super Extra Large",$5.49
"Burnbrae Farms Grade A White Eggs, Large",$3.19
Burnbrae Farms Naturegg Simply Egg Whites,$5.79
"PC Blue Menu Free Run Omega-3 Hard-Boiled Peeled Eggs, 3x2 packs",$4.99
JUST Egg Plant Based Egg,$6.99
"Burnbrae Farms Naturegg Omega Plus Solar Free Range Eggs, Large",$7.99
"Burnbrae Farms Prestige White Eggs, Large",$4.99
"Burnbrae Farms Naturegg Solar Free Range Eggs, Large",$7.99
"Burnbrae Farms Egg Creations, Original",$5.79
Natrel Lactose Free 2% Dairy Product (2L),$7.09
Fairlife Lactose Free 2% Partly Skimmed Ultrafiltered Milk,$5.79
Fairlife Chocolate Lactose Free 2% Partly Skimmed Ultrafiltered Milk,$5.79
President's Choice Lactose Free Marble Cheddar,$5.99
IOGO 1% Lactose Free Strawberry-Banana Drinkable Yogurt,$3.69
Natrel Lactose Free 1% Dairy Product (2L),$7.09
Fairlife Lactose Free 1% Partly Skimmed Ultrafiltered Milk,$5.79
Neilson Trutaste Lactose Free 2% Milk,$7.19
Fairlife Lactose Free Whole Ultrafiltered Milk,$5.79
President's Choice Lactose Free Pizza Mozzarella Shredded Cheese,$5.99
President's Choice Lactose Free 14% M.F. Sour Cream,$4.29
"Activia Yogurt With Probiotics Lactose-Free, Vanilla Flavour",$2.99
Neilson Trutaste Lactose Free 1% Milk,$7.19
"Activia Yogurt With Probiotics Lactose Free, Vanilla, Strawberry, Raspberry, Cherry Flavour",$7.49
President's Choice Lactose Free Old Yellow Cheddar Cheese,$5.99
IOGO Nanö 1% Lactose Free Apple-Grape Drinkable Yogurt,$3.69
President's Choice Lactose Free 2% M.F. Cottage Cheese,$5.49
President's Choice Naturally Lactose-Free Swiss Cheese,$5.99
President's Choice Lactose Free Plain Cream Cheese,$4.29
Neilson Trutaste Lactose Free Cream Half & Half 10% M.F.,$3.99
Gay Lea Lactose Free Sour Cream,$4.49
"Tre Stelle Tre Stelle Creamy Cheese Spread, Lactose Free",$4.99
President's Choice Lactose Free Plain 2%  M.F. Yogurt,$3.79
Neilson Trutaste No Lactose 3.25% Milk,$7.09
Neilson Trutaste Lactose Free Skim Milk,$7.19
Neilson Trutaste Lactose Free 2% Milk,$4.59
Neilson Trutaste Homogenized Milk Lactose Free 3.25% M.F.,$10.99
Gay Lea Lactose Free Cottage Cheese,$5.49
Neilson Trutaste Lactose Free Skim Milk,$4.59
"Neilson Milk, Ultrafiltered Partly Skimmed 2% M.F.",$3.99
Neilson Ultrafiltered Milk 3.25% M.F.,$3.99
Neilson Chocolate Dairy Beverage 2% M.F.,$3.99
"Philadelphia Original Cream Cheese, Lactose Free",$6.49
Philadelphia Original Cream Cheese,$6.49
Neilson Partly Skimmed Milk 2% MF,$6.19
Neilson Half and Half Cream,$3.99
Neilson Partly Skimmed Milk 1% MF,$6.19
Neilson Trutaste Partially Skimmed Milk 2 percent MF,$6.99
Neilson Homogenized Milk 3.25%,$6.89
"Gay Lea Real Whipped Cream, Regular",$4.99
"Neilson True Taste, 2% Milk",$5.69
Neilson Whipping Cream,$3.99
Neilson Trutaste Light Cream,$3.99
Neilson TruTaste 1% Milk,$6.99
Neilson TruTaste 1% Milk,$5.69
"International Delight French Vanilla Flavoured Coffee Creamer, 63 Servings",$5.99
Neilson 2% Milk,$3.59
Neilson 2% Milk,$5.19
"Silk Oat For Coffee, Vanilla, Plant Based, Dairy Free Coffee Creamer",$5.49
"Silk Peppermint Mocha Flavoured Almond Coffee Creamer, Limited Edition",$2.99
Neilson Skim Milk,$6.19
"Silk For Coffee, Hazelnut Flavour, Dairy Free Coffee Creamer",$2.99
Neilson Table Cream,$7.19
"International Delight Hazelnut Flavoured Coffee Creamer, 63 Servings",$5.99
Neilson Strawberry Milkshake,$1.29
President's Choice Rich & Creamy Egg Nog Original,$3.79
Neilson TruTaste Homogenized Milk,$6.19
Neilson Buttermilk,$4.49
Nestlé Coffee Mate Liquid Creamer Caramel Macchiato,$6.49
"Silk Almond For Coffee, Vanilla, Plant Based, Dairy Free Coffee Creamer",$2.99
Woolwich Homogenized Goat Milk 3.25%MF,$4.99
Organic Meadow 10% Half & Half Organic Cream,$4.79
"Gay Lea Real Whipped Cream, Light",$4.99
"Neilson Flavoured Milk, Chocolate",$2.79
Starbucks Almond And Oat Non Dairy Pumpkin Spice Latte Coffee Enhancer,$7.69
Neilson French Vanilla Milkshake,$1.29
Neilson 1% Partly Skimmed Milk,$5.19
Nestlé Coffee Mate Liquid French Vanilla,$6.49
The A2 Milk Company 3.25% M.F. Homogenized Milk,$6.69
Neilson Eggnog,$3.09
Neilson TruTaste Skim Milk,$6.99
"Tim Hortons Coffee Creamer, Double Double",$7.49
Neilson Whipping Cream,$3.89
Lactantia 2% M.F. Partly Skimmed Milk,$5.89
Lactantia 1% M.F. Partly Skimmed Milk,$5.89
"Neilson Homogenized Milk Microfiltered, 3.25% M.F.",$3.79
"Neilson Flavoured Milk, Chocolate",$6.39
Neilson 1% Milk,$3.59
"President's Choice Rich & Creamy Egg Nog, Candy Cane",$3.79
Starbucks Caramel Macchiato Liquid Coffee Enhancer,$7.69
"Neilson Chocolate Milk, 25% Less Sugar",$3.59
Neilson Homogenized Milk 3.25%,$2.99
Neilson Homogenized Milk,$5.29
Baileys Original Irish Cream,$3.49
Starbucks Almond And Oat Dairy Free Hazelnut Latte Coffee Enhancer,$7.69
Neilson TruTaste 1% Milk,$4.19
Neilson Half and Half Cream,$3.79
Nestlé Nesquik Milkshake,$3.15
Lactantia 3.25% M.F. Homogenized Milk,$6.39
PC Organics Organic Homogenized Milk,$10.69
Starbucks Almond And Oat Dairy Free Caramel Macchiato Coffee Enhancer,$7.69
President's Choice The World’s Best Egg Nog,$2.99
Neilson Half & Half Cream,$2.59
"Milk 2 Go Sport, Chocolate",$2.69
Nestlé COFFEE-MATE Original Powder,$7.99
Neilson Whipping Cream 35 percent MF,$9.49
Neilson TruTaste Skim Milk,$5.69
"Nestlé Coffee-Mate, Original",$15.99
Gay Lea Real Coconut Whipped Cream,$4.99
"Neilson Cream, 18%",$3.99
Neilson Skim Milk,$5.19
Baileys French Vanilla,$3.49
Woolwich Partially Skimmed Goat Milk 2%,$4.99
"Neilson Flavoured Milk, Chocolate",$8.19
Nestlé Coffee Mate Double Double-Mate Liquid Coffee Enhancer,$6.49
"Neilson Flavoured Milk, Chocolate",$3.59
PC Organics Organic Partly Skimmed 2% Milk,$7.09
Neilson Trutaste Homogenized Milk,$7.59
"International Delight Caramel Macchiato Coffee Creamer,",$5.99
Neilson TruTaste 2% Milk,$4.19
Starbucks Cinnamon Dolce Latte,$7.69
PC Organics Organic Homogenized Milk,$7.29
Neilson Trutaste Skim Milk,$4.19
Neilson Homogenized Milk 3.25%,$3.69
Neilson Egg Nog,$4.19
President's Choice Rich & Creamy Egg Nog Chocolate,$3.79
Beatrice Protein Milk Chocolate,$3.49
No Name Coffee Whitener,$5.99
PC Organics Organic Partly Skimmed 1% Milk,$7.09
No Name Whipped Topping,$3.99
Neilson Caramel Chocolate Milkshake,$1.29
Neilson 2% Milk,$2.69
Neilson Chocolate Milkshake,$1.29
Starbucks Pumpkin Spice Latte Liquid Coffee Enhancer,$7.69
Neilson Trutaste Light Cream,$3.79
"Tim Hortons Coffee Creamer, Chocolate Dip Donut",$7.49
PC Organics Organic Partly Skimmed 2% Milk,$10.69
The A2 Milk Company 2% M.F. Partly Skimmed Milk,$6.69
Neilson Skim Milk,$3.59
"Tim Hortons Coffee Creamer, Vanilla Dip Donut",$7.49
"Neilson Flavoured Milk, Chocolate",$1.69
International Delight Reduced Sugar French Vanilla Coffee Creamer,$5.99
No Name Pasteurized Cream Cheese,$3.99
Philadelphia Original Brick Cream Cheese,$5.49
Philadelphia Original Cream Cheese Product,$5.49
President's Choice Triple Cheddar Shredded Cheese Blend,$5.99
No Name Farmer's Marble Cheese,$9.99
No Name Farmer's Marble Cheese,$5.99
"Black Diamond Cheddar-Style Slices, Original",$5.99
No Name Marble Cheddar Cheese Slices,$5.49
President's Choice Pizza Mozzarella Shredded Cheese,$5.99
Black Diamond Cheestrings Marble 18% M.F.,$6.99
Kraft Singles Original Slices,$5.49
"No Name Cottage Cheese, 2% M.F.",$4.79
Cracker Barrel Bar Marble Cheddar,$7.99
No Name Pizza Mozzarella Cheese with 28% M.F.,$5.99
Cracker Barrel Bar Old Cheddar,$7.99
President's Choice Tex Mex Shredded Cheese Blend,$5.99
President's Choice Extra Old White Cheddar,$5.99
No Name Old Cheddar Cheese,$5.99
Philadelphia Herb & Garlic Cream Cheese Product,$5.49
No Name Swiss Cheese Slices,$5.49
Kraft Grated Cheese Parmesan 31% M.F.,$9.99
No Name Medium Cheddar Cheese Slices,$5.49
Cracker Barrel Slice Marble Cheddar,$5.49
Philadelphia Original Cream Cheese Product,$7.99
Cracker Barrel Bar Medium Cheddar,$7.99
President's Choice Parmesan Shredded Cheese,$5.99
No Name Old Cheddar Cheese Slices,$5.49
Cracker Barrel Slice Medium Cheddar,$5.49
Philadelphia Whipped Original Cream Cheese Product,$5.49
No Name Cream Cheese Spread,$3.99
Tre Stelle Tre Stelle Cream Cheese Original,$4.99
"Gay Lea Nordica Cottage Cheese, Fat Free",$4.99
Kraft Singles Original Slices,$10.99
President's Choice Havarti Cheese,$5.99
No Name Medium Cheddar Cheese,$4.49
"No Name Old Cheddar Cheese, Light",$5.99
No Name Old Cheddar Cheese,$4.49
Black Diamond Processed Cheddar Cheese Slices Thick,$5.99
Cracker Barrel Slice Medium Cheddar Light,$5.49
No Name Light Original Cream Cheese Product,$3.99
Black Diamond Sliced Marble Cheddar Cheese,$5.99
Black Diamond Cheestrings Marble 18% M.F.,$13.99
"Black Diamond Cheese Mozzarella, 27% M.F.",$5.99
"Black Diamond Cheddar Cheese Medium, 32% M.F.",$5.99
Black Diamond Sliced Medium Cheddar Cheese,$5.99
Kraft Smooth Peanut Butter,$5.99
Nutella Hazelnut Spread with Cocoa for Breakfast,$8.49
Kraft Smooth Light Peanut Butter,$5.99
Kraft Only Peanuts All Natural Smooth Peanut Butter,$5.99
Kraft Crunchy Peanut Butter,$5.99
No Name Pure 100% Canadian Liquid Honey,$13.99
President's Choice 100% Pure Maple Syrup (Amber),$12.99
No Name Smooth Peanut Butter,$5.49
Smuckers Pure Strawberry Jam,$6.49
Pearl Milling Company Original Syrup,$5.49
100% Pure Maple Syrup,$17.99
No Name Pure 100% Canadian Liquid Honey,$8.99
No Name 100% Canadian Pure Liquid Honey,$7.49
Kraft Only Peanuts All Natural Crunchy Peanut Butter,$5.99
Kraft Hazelnut Spread With Cocoa,$5.99
Nutella Hazelnut Chocolate Spread,$5.99
President's Choice Pure Strawberry Jam,$6.99
Jif Creamy Peanut Butter,$7.49
PC Blue Menu Blue Menu Just Peanuts Smooth Peanut Butter,$5.49
Smuckers Pure Raspberry Jam,$7.99
Kraft Smooth Peanut Butter,$7.49
President's Choice 100% Pure Maple Syrup,$5.49
No Name Smooth Light Peanut Butter,$5.49
Kraft Extra Creamy Peanut Butter,$5.99
Bonne Maman Raspberry Jam,$7.49
Smuckers Pure Seedless Strawberry Jam,$4.99
Kraft Cheez Whiz Cheese Spread,$10.99
President's Choice Pure Raspberry Jam,$6.99
Bonne Maman Strawberry Jam,$7.49
No Name Strawberry Jam With Pectin,$4.99
Kraft Spread Hazelnut with Cocoa 45% Less Sugar,$5.99
Nutella Hazelnut Spread with Cocoa for Breakfast,$11.99
President's Choice Original Table Syrup,$4.29
No Name 100% Canadian Pure Creamed Honey,$13.99
President's Choice 100% Pure Maple Syrup (Dark),$11.99
President's Choice Pure Concord Grape Jelly,$6.99
PC Blue Menu Twice The Fruit Strawberry Spread,$6.99
Smuckers No Sugar Added Strawberry Spread,$7.49
Smuckers Pure Seedless Raspberry Jam,$5.99
Steeves Maples Sugar Free Syrup,$3.29
"President's Choice Syrup, Butter Flavoured",$4.29
PC Blue Menu Blue Menu Just Peanuts Crunchy Peanut Butter,$5.49
Smuckers Pure Cherry Jam,$4.99
PC Blue Menu Blueberry,$6.99
BeeMaid Premium Liquid Honey,$10.99
Bonne Maman Hazelnut And Cocoa Spread,$8.49
BeeMaid 1 Canadian Pure Creamed Honey,$18.49
President's Choice Dulce de leche,$4.29
No Name Garlic Powder,$3.99
No Name Chopped Garlic,$4.29
No Name Onion Powder,$3.99
Mr Goudas Table Salt Iodized,$1.49
No Name Chili Powder,$3.99
No Name Ground Black Pepper,$3.99
No Name Ground Cumin,$3.99
No Name Oregano Leaves,$3.99
No Name Black Peppercorns,$3.99
No Name Ground Cinnamon,$3.99
PC Black Label Panko,$3.49
No Name Parsley Flakes,$3.99
Windsor Iodized Table Salt,$2.49
No Name Extra Crispy Coating Mix,$2.99
No Name Crushed Red Pepper,$3.99
Kraft Shake'n Bake Crispy Chicken Coating Mix,$4.99
No Name Sesame Seeds,$3.99
No Name Cinnamon Sticks,$3.99
Aurora Italian Style Bread Crumbs with Italian Romano Cheese,$4.49
No Name Thyme Leaves,$3.99
No Name Basil Leaves,$3.99
"Windsor Sea Salt, Fine",$5.49
No Name Kosher Salt,$6.99
No Name Italian-Style Seasoning,$3.99
"Aurora Mediterranean Seas Salts, Fine",$1.99
No Name Rosemary Leaves,$3.99
No Name Paprika,$3.99
No Name Ground Ginger,$3.99
No Name Southern Fried-Style Coating Mix,$2.99
No Name Original Coating Mix,$2.99
PC Black Label Seasoned Panko Bread Crumbs,$3.49
No Name Garlic Salt,$3.99
"Club House Signature, Blends Italiano",$8.99
No Name Crispy Rice Marshmallow Squares,$8.99
Club House Organic Garlic Powder Bag,$3.79
No Name Garlic Powder Club Size,$8.99
President's Choice Vanilla Extract Pure,$11.49
President's Choice Memories Of Sicilia Fine Sea Salts,$5.99
Kraft Coating Mix Crispy Southern Fried,$4.99
President's Choice Smoked Paprika,$6.49
Kraft Crispy Pork Coating Mix,$4.99
4C Plain Bread Crumbs,$3.79
No Name Ground Mustard,$3.99
Club House Farmer'S Market Chicken & Vegetables Seasoning Mix,$2.49
Watkins Organic Garlic Salt Grinder,$7.99
Club House Beer Batter Mix,$4.99
Club House Moroccan Seasoning Mix,$2.49
Club House Peppercorn,$25.99
"General Mills Honey Nut Cheerios Breakfast Cereal, Family Size, Whole Grains",$8.49
Kelloggs Rice Krispies Original,$8.49
Kelloggs Rice Krispies Cereal,$5.99
Kelloggs Froot Loops Cereal,$5.99
"General Mills Multi Grain Cheerios Breakfast Cereal, Family Size, Whole Grains",$8.49
"General Mills Cinnamon Toast Crunch Breakfast Cereal, Family Size, Whole Grains",$8.49
Kelloggs Frosted Flakes Cereal,$5.99
Post Shreddies Original Cereals,$4.99
"General Mills Honey Nut Cheerios Breakfast Cereal, Whole Grains",$5.99
