Name,Price
Sunspun Soft Margarine,$51.99
Imperial 55% Vegetable Oil Margarine Non Hydrogenated,$2.79
Becel Margarine Original,$16.49
No Name 68% Vegetable Oil Margarine,$10.99
Sunspun Soft Margarine,$13.99
COUNTRY CROCK Original Spread,$6.99
"Becel Plant Butter, Unsalted",$5.99
Sunspun Salted Butter Round Mini Cups,$39.99
Becel Buttery Taste Margarine,$15.99
No Name Margarine,$3.29
No Name 75% Vegetable Oil Margarine Squares,$6.39
President's Choice Butter Puff Pastry,$5.79
President's Choice Phyllo Pastry,$4.99
No Name Tart Shells,$6.29
No Name Pie Shells,$4.19
No Name Large Grade A Eggs,$3.79
No Name Large Size Eggs,$9.29
No Name Grade A Extra Large Eggs,$4.49
Burnbrae Farms Grade A Large Eggs,$5.49
No Name Medium Grade A White Eggs,$3.59
No Name Grade A Large Brown Eggs,$5.99
"Burnbrae Farms Naturegg Omega 3 White Eggs, Large",$5.79
"Burnbrae Farms Loose Eggs, Small",$41.99
GFS Liquid Eggs,$7.29
GFS Hard Cooked Eggs,$59.99
"Gray Ridge White Eggs, Large",$49.99
Fairlife Lactose Free 2% Partly Skimmed Ultrafiltered Milk,$5.59
Fairlife Lactose Free 1% Partly Skimmed Ultrafiltered Milk,$5.59
Neilson Trutaste No Lactose 3.25% Milk,$6.19
Neilson Trutaste Lactose Free 2% Milk,$4.49
Neilson Ultrafiltered Milk 3.25% M.F.,$4.59
"Neilson Milk, Ultrafiltered Partly Skimmed 2% M.F.",$4.59
Neilson Partly Skimmed Milk 2% MF,$5.89
Neilson Half and Half Cream,$3.69
Neilson Partly Skimmed Milk 1% MF,$5.89
Neilson Homogenized Milk 3.25%,$6.89
"Gay Lea Real Whipped Cream, Regular",$3.49
"Neilson True Taste, 2% Milk",$5.59
Neilson Whipping Cream,$4.79
Fairlife Lactose Free 2% Partly Skimmed Ultrafiltered Milk,$5.59
"Silk Almond For Coffee, Vanilla Flavour, Plant Based Dairy Free Coffee Creamer",$4.99
"International Delight French Vanilla Flavoured Coffee Creamer, 63 Servings",$5.29
Neilson 2% Milk,$3.49
Neilson 2% Milk,$5.19
"Silk Oat For Coffee, Vanilla, Plant Based, Dairy Free Coffee Creamer",$4.99
Neilson Skim Milk,$5.89
Neilson Table Cream,$5.09
"International Delight Hazelnut Flavoured Coffee Creamer, 63 Servings",$5.29
"International Delight Peppermint Mocha Coffee Enhancer, Limited Edition",$5.29
Fairlife Lactose Free 1% Partly Skimmed Ultrafiltered Milk,$5.59
Neilson 2% Milk,$1.99
Neilson 2% Milk,$2.49
"Neilson Flavoured Milk, Chocolate",$2.39
Neilson Buttermilk,$4.09
Neilson Chocolate Milk,$1.99
President's Choice Rich & Creamy Egg Nog Original,$3.99
Neilson TruTaste Homogenized Milk,$5.79
Gay Lea Whipped Topping,$6.29
Neilson Strawberry Milkshake,$1.39
Neilson Eggnog,$2.79
Milk 2 Go Chocolate Partly Skimmed Milk 1% M.F. 6 x,$5.99
"Baileys Coffee Creamer, Caramel",$3.29
Neilson Half and Half Cream,$3.19
Milk 2 Go Mystery Flavoured Partly Skimmed Milk Limited Edition Flavour 1% M.F.,$1.00
Neilson 1% Milk,$3.49
Neilson 18% Creamer,$10.49
Nestlé Coffee Crisp Milkshake,$2.75
Baileys Original Irish Cream,$3.29
Nestlé Nesquik Milkshake,$2.75
"Neilson Milk, Ultrafiltered Partly Skimmed 2% M.F.",$4.59
"President's Choice Rich & Creamy Egg Nog, Candy Cane",$3.99
Neilson Ultrafiltered Milk 3.25% M.F.,$4.59
Nestlé Rolo Milkshake,$2.75
Milk 2 Go Vanilla Flavour,$2.19
"Nestlé Coffee-Mate, Original",$12.49
PC Organics Organic Homogenized Milk,$8.19
Neilson Trutaste Lactose Free 2% Milk,$4.49
Neilson Dairy Milker 2% M.F.,$5.99
No Name Coffee Whitener,$7.79
Neilson Whipping Cream 35 percent MF,$7.59
Neilson Trutaste Lactose Free 2% Milk,$4.49
No Name Coffee Whitener,$7.79
President's Choice The World’s Best Egg Nog,$2.99
Milk 2 Go Chocolate,$2.19
Nestlé Coffee Mate Coffee Enhancer Hazelnut Value Size,$9.29
"Neilson Flavoured Milk, Chocolate",$3.29
Neilson 10% Creamer,$7.29
"Nestlé Nesquik Milkshake, Vanilla",$2.75
International Delight Classic Hazelnut Coffee Creamer,$7.79
Nestlé Coffee Mate Liquid French Vanilla Value Size,$9.29
"International Delight Caramel Macchiato Coffee Creamer,",$5.29
Milk 2 Go Strawberry,$2.19
Neilson Homogenized Milk 3.25%,$3.69
"Milk 2 Go Chocolate Milk, Reduced Sugar",$2.19
Neilson Skim Milk,$3.49
"Carnation Coffee-mate, Light",$12.49
Neilson Egg Nog,$4.29
Neilson Trutaste No Lactose 3.25% Milk,$6.19
President's Choice Rich & Creamy Egg Nog Chocolate,$3.99
No Name Whipped Topping,$3.49
Neilson Caramel Chocolate Milkshake,$1.39
Neilson Chocolate Milkshake,$1.39
"International Delight Zero Sugar Hazelnut Coffee Creamer,",$5.29
International Delight Southern Butter Pecan Coffee Creamer,$5.29
Milk 2 Go Banana,$2.19
International Delight Classic French Vanilla Coffee Creamer,$7.79
No Name Coffee Whitener,$3.99
No Name Pasteurized Cream Cheese,$2.99
Philadelphia Original Brick Cream Cheese,$4.99
No Name Farmer's Marble Cheese,$9.99
"Black Diamond Cheddar-Style Slices, Original",$5.49
No Name Farmer's Marble Cheese,$5.99
No Name Marble Cheddar Cheese Slices,$4.99
Kraft Singles Original Slices,$5.79
"No Name Cottage Cheese, 2% M.F.",$4.29
No Name Old Cheddar Cheese,$9.99
No Name Shredded Mozzarella,$5.49
"No Name Pizza Mozzarella Cheese, 28% MF",$9.99
No Name Old Cheddar Cheese,$5.99
No Name Swiss Cheese Slices,$4.99
No Name Shredded Nacho Cheese Blend,$5.49
No Name Shredded Mozzarella Cheese,$13.99
No Name Shredded Farmer's Marble Cheese,$5.49
No Name Cheese Sticks Stringable Marble,$11.99
Armstrong Marble Cheddar Chs,$19.99
Philadelphia Cream Cheese Product Strawberry,$43.99
Armstrong Snack Old Cheddar Cheese,$13.99
No Name Pasteurized Cream Cheese Spread,$15.49
"Sunspun Cheese, Processed Swiss Product, Ribbon Slices",$20.99
Great Canadian Easy Melt Cheddar Shreds,$30.99
Kraft Singles Original Slices,$10.99
No Name Shredded Cheddar & Monterey Jack Cheese Blend,$13.99
"Sunspun Processed Cheese Product, Ribbon Slices",$20.99
"Sunspun Cheese, Processed Product, Submarine Slices",$20.99
Sunspun Shredded Medium Cheddar Cheese,$35.99
No Name Medium Cheddar Cheese,$9.99
Sunspun Shredded Cheddar & Monterey Jack Cheese Blend,$35.99
No Name Shredded Medium Cheddar,$5.49
Black Diamond Cheestrings Marble 18% M.F.,$14.49
Nanak Paneer 1.6 Kg,$22.99
"Sunspun Cheese, Processed Mozzarella Product, Submarine Slices",$20.99
GFS Processed Swiss Cheese Slices,$31.99
Armstrong Old Cheddar Cheese,$19.99
"No Name Swiss Cheese, Club Size",$24.99
Philadelphia Philly Cream Cheese Brick,$17.99
Armstrong Nibblers Smokey Bacon Natural Snacking Cheese curds,$6.99
No Name Shredded Medium Cheddar Cheese,$13.99
Kraft Grated Cheese Parmesan 31% M.F.,$13.49
"Saputo Cheese, Mozzarellissma, Light",$12.99
No Name Cheddar Flavour Processed Cheese Product Slices,$9.29
Cracker Barrel Cheese Mozz Cheddar,$45.99
Sunspun Shredded Nacho Cheese Blend,$35.99
"Sunspun Cheese, Shredded 4- Italiano Blend",$35.99
"No Name Monterey Jack Cheese, Club Size",$30.99
"Parmalat Cheese, Supreme Pizza Mozzarella, Shredded -",$36.99
Armstrong Medium Cheddar,$19.99
"Sunspun Cheese, Shredded Pizza Mozzarella & Brick Blend",$35.99
"Gay Lea Nordica Cottage Cheese, 1%",$7.29
Armstrong Nibblers Original Natural Snacking Cheese curds,$6.99
"No Name Medium Cheddar Cheese, Club Size",$30.99
No Name Shredded Nacho Cheese Blend,$13.99
Philadelphia Light Cream Cheese Spread,$4.99
Sunspun Shredded Cheese Blend,$35.99
No Name Marble Cheddar Cheese,$30.99
Philadelphia Light Original Cream Cheese Product,$4.99
No Name Pasteurized Light Cream Cheese Spread,$2.99
Kraft Cheddar Ribbon Slices,$27.99
"Gay Lea Nordica Cottage Cheese, 2%",$7.29
"Gay Lea Nordica Cottage Cheese, 2%",$4.89
Sunspun Pizza Mozzarella Cheese,$27.99
Kraft Grated Cheese Parmesan 31% M.F.,$4.99
No Name Original Cream Cheese Spread,$4.99
Great Canadian Easy Melt Mozzarella Shreds,$29.99
"No Name Old Cheddar Cheese, Club Size",$30.99
Armstrong Marble Cheese Sticks,$13.99
No Name Mild Cheddar Cheese,$30.99
Cracker Barrel Cheese Blend Mont Jack,$45.99
"Sunspun Processed Cheese Product, Pullman Slices",$20.99
Saputo Mozzarellissima 20% 690g,$12.99
No Name Shredded Marble Farmer's Cheese,$13.99
No Name 1% M.F. Light Cottage Cheese,$4.29
No Name Sour Cream 14%,$2.79
"Gay Lea Sour Cream, Regular 14%",$2.99
Kraft Cheez Whiz Cheese Spread,$6.49
"Heluva Sour Cream Dip, French Onion",$3.99
"Gay Lea Sour Cream, Low Fat 3%",$2.99
Philadelphia Onion Dip,$4.59
Philadelphia Dill Pickle Dip,$4.59
Philadelphia Herb & Garlic Dip,$4.59
Gay Lea Sour Cream 14% M.F.,$52.99
"Dip a Chip Dip, French Onion",$1.79
"Beatrice Sour Cream, 18%",$16.49
Sunspun Sour Cream,$11.49
Astro Original Balkan Balkan Style Yogurt,$3.49
"Activia Yogurt With Probiotics, Vanilla Flavour",$4.49
"President's Choice 0% MF Greek Yogurt, Plain, Club Size",$7.89
"Activia Yogurt With Probiotics, Strawberry Flavour",$4.49
"Danone Danino Strawberry-Banana Flavoured Paw Patrol Yogurt Drink For Kids, 6X93",$3.49
President's Choice Plain Greek Yogurt Club Size 2% M.F.,$7.99
"Danone Danino Raspberry Flavoured Drinkable Yogurt, 6 Bottles",$3.49
"Danone Danino Strawberry Flavoured Drinkable Yogurt, 6 Bottles",$3.49
"Astro Original Balkan Style Yogurt, Plain 2%",$3.49
"IOGO Yogurt, Strawberry",$10.99
"President's Choice 2% MF Greek Yogurt, Vanilla, Club Size",$7.99
IOGO 2.3% Plain,$10.99
"Yoplait Yogurt, Creamy Vanilla",$9.99
Saputo Greek Yogurt,$22.99
"Activia Yogurt With Probiotics, Strawberry, Raspberry, Vanilla, Blueberry Flavour, 24XG",$11.49
Yoplait Source Raspberry/Fieldberry/Strawberry/Peach  0% MF Yogurt,$5.99
No Name Plain Stirred 0% M.F. Yogurt,$7.29
"Oikos Extra Creamy Greek Yogurt, Extra Creamy Plain 11%",$6.99
Liberte Greek Vanilla 2% MF Yogurt,$6.99
No Name Vanilla Stirred 0% M.F. Yogurt,$2.99
Yoplait Yop Drinkable Yogurt Strawberry Flavour 1% M.F.,$7.49
No Name Plain Stirred 0% M.F. Yogurt,$2.99
No Name Strawberry Stirred 0% M.F. Yogurt,$2.79
"Silk Almond Beverage, Unsweetened Original, Dairy-Free",$4.49
"Silk Organic Soy Beverage, Unsweetened Original, Dairy-Free",$4.49
"Silk Almond Beverage, Original, Plant Based Dairy-Free Milk",$4.49
Earths Own Oat Barista,$4.99
"Silk Oat Beverage, Unsweetened, Plant Based, Dairy Free",$4.29
"Silk Dairy Free Plant Based Oat Beverage, Original, Plain",$4.29
"Silk Organic Soy Beverage, Original, Dairy-Free",$4.49
"Silk Almond Beverage, Unsweetened, Dairy-Free, Shelf Stable",$2.49
"So Fresh Oat Beverage, Original",$3.49
"Silk Almond Beverage, Unsweetened, Vanilla Flavour, Dairy-Free, Shelf Stable",$2.49
Natura Unsweetened Enrich,$2.47
So Nice Soy Barista,$3.69
"Blue Diamond Almond Breeze Natural Almond, Unsweetened",$3.49
"Blue Diamond Almond Breeze, Unsweetened Vanilla",$3.49
"Silk Organic Soy Beverage, Unsweetened Original, Dairy-Free, Shelf Stable",$2.69
Natura Natur-A  Rice Original,$2.47
"Silk Almond Beverage, Unsweetened Original, Dairy-Free",$13.99
"Silk Almond Beverage, Original, Dairy-Free, Shelf Stable",$3.49
"Earths Own Oat Beverage, Chocolate",$3.99
"Earths Own Oat Beverage, Original",$3.99
"Blue Diamond Almond Breeze, Vanilla",$3.49
"Silk Almond Beverage, Vanilla Flavour, Dairy-Free, Shelf Stable",$3.49
"Silk Almond Beverage, Dark Chocolate Flavour, Dairy-Free",$8.49
"Natura Organic Soy Beverage, Enriched Original",$2.47
"Earths Own Almond Beverage, Unsweetened Original",$3.49
"Blue Diamond Almond Breeze, Original",$3.49
"Blue Diamond Almond Breeze, Chocolate",$3.49
Kraft Smooth Peanut Butter,$6.99
Nutella Hazelnut Spread with Cocoa for Breakfast,$7.49
President's Choice 100% Pure Maple Syrup (Amber),$13.99
No Name Pure 100% Canadian Liquid Honey,$10.99
No Name Smooth Peanut Butter,$4.79
Pearl Milling Company Original Syrup,$3.99
No Name Original syrup,$3.29
No Name Pure 100% Canadian Liquid Honey,$6.99
No Name 100% Canadian Pure Liquid Honey,$5.99
Kraft Smooth Peanut Butter,$12.99
Jif Creamy Peanut Butter,$6.49
Kraft Smooth Peanut Butter,$4.79
Kraft Cheez Whiz Cheese Spread,$9.99
No Name Strawberry Jam With Pectin,$4.29
"No Name Smooth Peanut Butter, Club Size",$8.49
President's Choice 100% Pure Maple Syrup (Dark),$10.99
No Name Strawberry Jam with Pectin,$6.99
No Name Smooth Peanut Butter,$3.29
Mclean Orange Marmelade,$13.29
"No Name Three-Fruit Marmalade with Pectin, Club Size",$6.99
Crown Corn Syrup,$4.79
"McCormicks Pure Natural Honey, Liquid White, Squeeze",$10.99
Jif Creamy Peanut Butter,$5.29
L.B. Maple Treat The Maple Treat Maple Syrup 4 L,$78.99
"No Name 100% Canadian Pure Liquid Honey, Club Pack",$33.99
Sunspun Strawberry Spread,$20.99
Nutella Hazelnut Spread with Cocoa for Breakfast,$13.99
"Billy Bee Pure Natural Honey, Liquid White, Squeeze",$9.99
Jif Peanut Butter Creamy 200 Cups,$39.29
No Name Three Fruit Marmalade With Pectin,$4.29
Sunspun Orange Marmalade Spread,$24.99
Mclean Raspberry Jam with Pectin,$15.29
No Name Raspberry Jam with Pectin,$6.99
Mclean Strawberry Jam with Pectin,$12.29
No Name Corn Syrup,$5.49
Smuckers Pure Blueberry Jam,$4.29
Sunspun Honey Flavoured Spread,$28.79
BeeMaid Li'L Honeys Honey 100% Pure Canadian 120 X 7 G (840 G),$19.99
BeeMaid Honey Amber Liquid,$76.99
"PC Blue Menu Twice The Fruit Strawberry Spread, Club Size",$9.99
Sunspun Pancake Syrup,$30.69
"Sunspun Peanut Butter, Individual Servings",$45.99
ED Smith Table Syrup 75% Less Sugar than Maple Syrup,$4.39
Beehive Golden Corn Syrup,$8.49
Sunspun Smooth Peanut Butter,$27.99
Sunspun Strawberry Spread,$27.69
Grenache Caramel Spread,$2.49
Nutella Family Bucket,$29.99
"No Name Apple & Raspberry Jam, Club Size",$6.99
No Name Raspberry Jam With Pectin,$5.49
GFS Pancake & Waffle Syrup,$17.99
Kraft Spread Hazelnut With Cocoa,$26.99
Map O Spread Sugar Spread,$2.99
Smuckers Pure Strawberry Jam,$4.29
"Billy Bee Pure Natural Honey, Liquid White, Squeeze",$15.49
No Name Garlic Powder,$2.49
No Name Chili Powder,$2.49
No Name Ground Black Pepper,$3.79
No Name Ground Cumin,$2.49
Windsor Iodized Table Salt,$1.49
Kraft Shake'n Bake Crispy Chicken Coating Mix,$4.99
No Name Kosher Salt,$3.99
No Name Chopped Garlic,$6.79
"Aurora Mediterranean Seas Salts, Fine",$1.79
Kraft Coating Mix Original Crispy,$5.29
No Name Crispy Rice Marshmallow Squares,$5.99
Kraft Crispy Pork Coating Mix,$4.99
Sunspun Ground Ginger,$5.79
Shan Chaat Masala Seasoning Mix,$2.29
Sunspun Garlic Salt,$4.29
Sunspun Thyme Leaves,$4.99
Sunspun Crushed Red Chili Pepper,$4.49
Rose Hill Spice Seasoning Piri Piri,$14.59
Club House Paprika,$9.99
Rose Hill Vegetable Rice Spice Seasoning,$13.59
Sunspun Parsley Flakes,$3.29
Quality Fennel Seeds,$34.99
Shan Sindhi Biryani Spice Mix,$2.29
Aurora Coarse Sea Salt,$1.79
Quality Brown Sesame Seeds,$19.49
Shan Special Bombay Biryani Mix,$2.29
Windsor Canning & Pickling Coarse Salt,$2.69
"Club House Blends, Garlic Plus",$10.99
Sunspun Garlic Granules,$5.49
Rose Hill Italian Delight Spice Seasoning,$11.99
Quality Flax Seed,$15.99
"Club House Blends, Roasted Garlic & Pepper",$11.99
Club House Minced Onion,$8.99
Sunspun Garlic Powder,$5.49
Rose Hill Taco & Fajitas Spice Seasoning,$13.99
Shan Chana Masala Spice Mix,$2.29
"Quality Curry Powder, Mild",$14.49
"Derlea Garlic, Minced",$7.99
Sunspun Ground White Pepper,$19.99
Quality Methi Seed,$7.99
"Fish Crisp Seasoned Coating Mix, Original",$5.99
Quality Cinnamon Sticks,$36.49
MDH Garam Masala Spice,$11.19
Sunspun Ground Cloves,$19.99
"Windsor Kosher Salt, Coarse",$5.29
Sunspun Ground White Pepper,$41.99
Sunspun Ground Black Pepper,$25.99
Sunspun Paprika,$4.99
Sunspun Ground Black Pepper,$25.99
Quality Garlic Powder,$12.99
Quality Black Pepper Powder,$39.99
Tamam Ground Sumac,$7.99
Club House Garlic Powder,$28.99
Sunspun Ground Black Pepper,$11.99
Sunspun Garlic Powder,$25.99
Rose Hill Spice Seasoning Jerk,$13.59
Sunspun Red Cayenne Pepper,$4.79
Sunspun Paprika,$21.99
Sunspun Parsley Flakes,$9.49
Windsor Hi-Grade Granulated Salt,$9.99
Rose Hill Spice Seasoning Home Fry Potato,$14.49
Lawrys Seasoning Salt,$17.99
No Name Curry Powder,$2.49
Quality Tandoori Masala,$30.99
Quality While  Sesame Seeds,$19.49
No Name Ground Black Pepper,$12.99
Quality Paprika Powder,$18.49
Shan Butter Chicken Spice Mix,$2.29
"Club House Blends, Italiano Seasoning",$10.99
Quality Chili Powder,$28.99
Quality Whole Chili Without Stem,$2.29
Shan Recipe & Seasoning Mix Chapli Kabab,$2.29
MDH Kasoori Methi,$22.99
Quality Fried Onions,$3.79
"Pastene Bread Crumbs, Plain",$4.29
Shan Chicken Curry Mix,$2.29
Shan Korma Curry Spice Mix,$2.29
Quality Crushed Chili,$21.99
"MDH Deggi Mirch Masala, Chili Powder",$9.99
Sunspun Montreal-Style Steak Spice Mix,$6.49
Sunspun Chili Powder,$5.99
Sunspun Black Peppercorns,$13.99
Sunspun Ground Cinnamon,$17.99
Rose Hill Cajun Blend Spice Seasoning,$13.79
"Club House La Grille, Montreal Steak Spice Seasoning",$9.99
Sunspun Cracked Black Pepper,$11.99
Sunspun Ground Nutmeg,$15.49
Windsor Iodized Household Salt,$2.99
Sunspun Montreal-Style Chicken Spice Mix,$6.99
Sunspun Sesame Seeds,$18.99
Sunspun Garlic Granules,$21.99
Sunspun Onion Powder,$6.19
Club House Ground White Pepper,$21.69
Sunspun Ground Cinnamon,$6.49
"Club House La Grille, Montreal Chicken Seasoning",$10.39
Quality Turmeric Powder,$23.99
Quality Ginger Powder,$19.49
Quality Whole Cloves,$67.99
Keens Dry Mustard,$5.99
Quality Turmeric Powder,$23.99
Windsor Iodized Household Salt,$2.99
Sunspun Ground Cinnamon,$6.49
Quality Coriander Seed,$16.99
"Club House La Grille, Montreal Chicken Seasoning",$10.39
Kelloggs Rice Krispies Cereal,$4.79
Kelloggs Froot Loops Cereal,$5.49
Kelloggs Frosted Flakes Cereal,$5.49
"General Mills Honey Nut Cheerios Breakfast Cereal, Whole Grains",$4.99
Kelloggs Corn Flakes Family Size,$7.49
Quaker Life Original Cereal,$5.49
Kelloggs Mini Wheat Frosted Cereal,$7.49
"General Mills Cinnamon Toast Crunch Breakfast Cereal, Whole Grains and Real Cinnamon",$4.99
President's Choice Extra-Fluffy Buttermilk Pancake & Waffle Mix,$3.79
"General Mills Original Cheerios Breakfast Cereal, Whole Grains",$4.99
Quaker Maple & Brown Sugar Flavour Instant Oatmeal,$4.99
Kelloggs Corn Pops Cereal,$5.49
"General Mills Multi Grain Cheerios Breakfast Cereal, Whole Grains",$4.79
Cap'n Crunch Sweetened Corn & Oat Cereal,$5.49
"General Mills Lucky Charms Breakfast Cereal with Marshmallows, Whole Grains",$4.99
"Kelloggs Corn Pops Cereal, Family Size",$7.79
"No Name Quick 100% Whole Grain Oats, Club Size",$5.99
President's Choice Original Extra-Fluffy Pancake And Waffle Mix,$3.99
Kelloggs Pop Tarts Frosted Smore,$3.99
Robin Hood 100% Whole Grains Quick Oats,$3.99
Quaker Quaker Quick Oats,$16.99
"General Mills Reese's Puffs Breakfast Cereal, Peanut Butter Chocolate, Jumbo Size",$11.49
Pearl Milling Company Complete Original Pancake & Waffle Mix,$3.99
Kelloggs Pop Tarts Frosted Choclate,$3.99
Kelloggs Poptarts Jumbo Pastries,$8.99
Quaker Regular Family Size Instant Oatmeal,$7.29
"General Mills Lucky Charms Breakfast Cereal with Marshmallows, Jumbo Size, Whole Grains",$10.99
"General Mills Cinnamon Toast Crunch Breakfast Cereal, Jumbo Size, Whole Grains",$10.99
No Name Old-Fashioned Pancake Mix,$2.79
Kelloggs Fun Pac Cereal,$6.49
Robin Hood 100% Whole Grains Minute Oats,$4.49
Quaker Harvest Crunch Original Granola Cereal,$12.99
"Kelloggs Froot Loops Cereal, Jumbo Size",$11.49
Robin Hood Little John Oats,$24.99
Kelloggs Confetti Cake Bites,$6.99
"No Name 100% Whole Grain Large Flake Oats, Club Pack",$5.99
"General Mills Original Cheerios Breakfast Cereal, Jumbo Size, Whole Grains",$11.99
PC Blue Menu Whole Grain Pancake And Waffle Mix,$3.99
Shreddies Shreddies Cereal Original Jumbo,$9.99
"General Mills Nesquik Chocolate Breakfast Cereal, Jumbo Size",$10.99
Robin Hood 100% Whole Grains Large Flake Oats,$4.49
Pearl Milling Company Buttermilk Pancake & Waffle Mix,$3.79
Pearl Milling Company Original Pancake & Waffle Mix,$3.99
Betty Crocker Bisquick Pancake and Baking Mix,$4.49
